Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U1         LQFP-144_20X20mm   1301.736mil   1737.312mil   1301.736mil   1737.312mil   1353.934mil   2276.689mil  B        225.00 STM32F746ZET   
C67        0805              2334.488mil    877.244mil   2334.488mil    877.244mil   2334.488mil    914.646mil  T        270.00 4u7            
C68        0603                  2410mil     869.37mil       2410mil     869.37mil       2410mil    902.835mil  T        270.00 100nF          
C70        0805                  2050mil        630mil       2050mil        630mil   2087.401mil        630mil  T        180.00 4u7            
C71        0603                  2050mil        700mil       2050mil        700mil   2083.465mil        700mil  T        180.00 100nF          
C72        0603                  1975mil        560mil       1975mil        560mil   2008.465mil        560mil  T        180.00 100nF          
C73        0805                  2055mil       1775mil       2055mil       1775mil   2092.402mil       1775mil  T        180.00 4u7            
C74        0603              2062.874mil       1706mil   2062.874mil       1706mil   2096.338mil       1706mil  T        180.00 100nF          
C75        0603              2062.874mil   1845.433mil   2062.874mil   1845.433mil   2096.338mil   1845.433mil  T        180.00 100nF          
C79        0603                  1507mil       1721mil       1507mil       1721mil       1507mil   1754.465mil  T        270.00 100nF          
C80        0603                  1490mil       2030mil       1490mil       2030mil   1513.663mil   2006.337mil  T        135.00 100nF          
C81        0805                   678mil       1554mil        678mil       1554mil    640.598mil       1554mil  B        360.00 4u7            
C82        0603                   695mil       1485mil        695mil       1485mil    661.536mil       1485mil  B        360.00 100nF          
C83        3528                  2220mil       1800mil       2220mil       1800mil       2220mil   1740.945mil  T         90.00 22uF/16V       
C84        3528                  2365mil       1800mil       2365mil       1800mil       2365mil   1740.945mil  T         90.00 22uF/16V       
C85        3528                  2500mil       1380mil       2500mil       1380mil       2500mil   1320.945mil  B         90.00 47uF/10V       
C86        3528                  2275mil       1400mil       2275mil       1400mil       2275mil   1340.945mil  T         90.00 47uF/10V       
C87        3528                  2060mil        940mil       2060mil        940mil       2060mil    880.945mil  B         90.00 100uF          
C88        0603                  2480mil       1530mil       2480mil       1530mil       2480mil   1496.535mil  T         90.00 100nF          
C89        0603                  2480mil       1377mil       2480mil       1377mil       2480mil   1410.465mil  T        270.00 100nF          
C90        0805                  2043mil       1134mil       2043mil       1134mil       2043mil   1171.401mil  B        270.00 10uF           
C91        0603                  2115mil       1138mil       2115mil       1138mil       2115mil   1171.465mil  B        270.00 100nF          
C92        0603                  2540mil       1160mil       2540mil       1160mil       2540mil   1193.464mil  B        270.00 100nF          
C93        0805                  2470mil       1030mil       2470mil       1030mil       2470mil   1067.402mil  B        270.00 10uF           
C94        0805                  1950mil        940mil       1950mil        940mil       1950mil    977.402mil  B        270.00 10uF           
D2         ONSC-SOD-123-2-425-04_V        210mil        920mil        210mil        920mil        210mil     855.63mil  B         90.00 STPS1L40M      
P1         HDR1X2                1285mil       2525mil       1235mil       2525mil       1235mil       2525mil  T        360.00 3VBAT          
P2         HDR1X2            2235.355mil   2094.645mil       2200mil       2130mil       2200mil       2130mil  B        315.00 AMBIENT_LIGHT  
P3         HDR1X2            2074.645mil   2255.355mil       2110mil       2220mil       2110mil       2220mil  B        135.00 AMBIENT_TEMPERATURE
P4         10_pin_PFC        2363.918mil       1180mil       2460mil       1205mil       2453mil       1180mil  T        180.00 TOUCH_SCREEN   
P8         40_pin_FPC         559.857mil       1605mil        950mil       1630mil    943.715mil       1605mil  T        180.00 480x272 RGB TFT LCD AML043056B0-40
P9         HDR1X3                 885mil       1810mil        985mil       1810mil        985mil       1810mil  T        180.00 ST-Link Debbuger
Q1         SOT23_N               1990mil        670mil       1990mil        670mil   2031.339mil    707.402mil  B        180.00 2N7002         
Q2         SOT23_N           1988.661mil    527.402mil   1988.661mil    527.402mil       2030mil    564.803mil  B        180.00 2N7002         
Q3         SOT23_N           2151.339mil    527.402mil   2151.339mil    527.401mil   2192.677mil    564.803mil  B        180.00 2N7002         
Q4         SOT23_N           2151.339mil        670mil   2151.339mil        670mil   2192.677mil    707.402mil  B        180.00 2N7002         
R1         2-0402                1359mil        396mil       1359mil        396mil   1384.591mil        396mil  T        180.00 10K            
R2         2-0402                1359mil        346mil       1359mil        346mil   1384.591mil        346mil  T        180.00 10K            
R3         2-0402                1359mil        296mil       1359mil        296mil   1384.591mil        296mil  T        180.00 10K            
R4         2-0402                1359mil        246mil       1359mil        246mil   1384.591mil        246mil  T        180.00 10K            
R5         2-0402                1359mil        196mil       1359mil        196mil   1384.591mil        196mil  T        180.00 10K            
R6         2-0402                1359mil        146mil       1359mil        146mil   1384.591mil        146mil  T        180.00 10K            
R7         2-0402                1359mil         96mil       1359mil         96mil   1384.591mil         96mil  T        180.00 10K            
R8         2-0402                1525mil        125mil       1525mil        125mil   1499.409mil        125mil  T        360.00 10K            
R9         2-0402                1080mil        125mil       1080mil        125mil   1105.591mil        125mil  T        180.00 10K            
R10        2-0402            1253.409mil         96mil   1253.409mil         96mil   1227.819mil         96mil  T          0.00 10K            
R11        2-0402            1253.409mil        146mil   1253.409mil        146mil   1227.819mil        146mil  T          0.00 10K            
R12        ERA-0603              1340mil       2247mil       1340mil       2247mil   1363.663mil   2223.337mil  T        135.00 10K            
R13        ERA-0603              1140mil       2200mil       1140mil       2200mil   1163.663mil   2223.663mil  T        225.00 10K            
R14        2-0402            1253.409mil        196mil   1253.409mil        196mil   1227.819mil        196mil  T          0.00 10K            
R15        2-0402            1253.409mil        246mil   1253.409mil        246mil   1227.819mil        246mil  T          0.00 10K            
R16        2-0402            1253.409mil        296mil   1253.409mil        296mil   1227.819mil        296mil  T          0.00 10K            
R17        2-0402            1253.409mil        346mil   1253.409mil        346mil   1227.819mil        346mil  T          0.00 10K            
R18        2-0402            1253.409mil        396mil   1253.409mil        396mil   1227.819mil        396mil  T          0.00 10K            
R19        2-0402                1359mil        448mil       1359mil        448mil   1384.591mil        448mil  T        180.00 10K            
R20        2-0402            1253.409mil        448mil   1253.409mil        448mil   1227.819mil        448mil  T          0.00 10K            
R21        ERA-0603              2297mil        714mil       2297mil        714mil   2330.465mil        714mil  T        180.00 2K7            
R23        ERA-0603              2297mil        656mil       2297mil        656mil   2330.465mil        656mil  T        180.00 2K7            
